Contaminantes al AGUA de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad másica por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad masica KG/Año
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;022400;ACEITES Y GRASAS;(null);3,978
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;010500;CADMIO Y SUS COMPUESTOS;18;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;021200;FENOLES;71;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;011003;FLUORANTENO;88;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;010400;MERCURIO Y SUS COMPUESTOS;21;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Agua;020130;NÍQUEL Y SUS COMPUESTOS;22;0
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;Agua;021500;SULFATOS;(null);88,2
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;Agua;020112;HIERRO;(null);27,25
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;Agua;022100;NITRÓGENO TOTAL;12;283,45
2008;A48070965;MANUEL GARCIA MENDOZA;4800001543;MANUEL GARCIA MENDOZA,S.A.;Ortuella;Agua;031000;SOLIDOS EN SUSPENSION;(null);3926,18
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;Agua;010400;MERCURIO Y SUS COMPUESTOS;21;0
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;Agua;020132;ZINC Y SUS COMPUESTOS;24;6,2
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;Agua;021500;SULFATOS;(null);1457872
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;Agua;030700;DQO;(null);87217
2008;B01254689;NUBIOLA PIGMENTOS;0100000234;NUBIOLA PIGMENTOS, S.L.;Laudio/Llodio;Agua;030800;DBO5;(null);12781,2
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;Agua;020115;NIQUEL;(null);0,03
2008;A48032072;BARNA;4800021585;BARNA;Mundaka;Agua;022100;NITRÓGENO TOTAL;12;229,39
2008;A01000249;LASCARAY;0100000202;LASCARAY;Vitoria-Gasteiz;Agua;020109;COBRE;(null);0
2008;A01000249;LASCARAY;0100000202;LASCARAY;Vitoria-Gasteiz;Agua;030700;DQO;(null);714
2008;A20426409;LAMINADOS DE ARETXABALETA;2000000092;LAMINADOS DE ARETXABALETA, S.A.;Aretxabaleta;Agua;020107;CINC;(null);0
2008;A20426409;LAMINADOS DE ARETXABALETA;2000000092;LAMINADOS DE ARETXABALETA, S.A.;Aretxabaleta;Agua;021100;CLORUROS;79;0
2008;A20426409;LAMINADOS DE ARETXABALETA;2000000092;LAMINADOS DE ARETXABALETA, S.A.;Aretxabaleta;Agua;021000;CIANUROS;82;0
2008;A48037550;GEA IBERICA;4800024666;GEA IBERICA, S.A. - VIZCAYA;Igorre;Agua;020101;ALUMINIO;(null);2,49
2008;A48037550;GEA IBERICA;4800024666;GEA IBERICA, S.A. - VIZCAYA;Igorre;Agua;020125;SODIO;(null);1193,8
2008;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;Agua;021500;SULFATOS;(null);8603,954
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;2000004416;MICHELIN ESPAÑA  PORTUGAL, S.A. - FABRICA DE LASARTE;Lasarte-Oria;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;46,7
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;2000004416;MICHELIN ESPAÑA  PORTUGAL, S.A. - FABRICA DE LASARTE;Lasarte-Oria;Agua;022400;ACEITES Y GRASAS;(null);3402
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;Agua;022400;ACEITES Y GRASAS;(null);17,64
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Agua;022400;ACEITES Y GRASAS;(null);5245,76
2008;A20021507;HIJOS DE JUAN DE GARAY,S.A.;2000000113;HIJOS DE JUAN DE GARAY, S.A.;Oñati;Agua;020132;ZINC Y SUS COMPUESTOS;24;12,83
2008;A20595955;VICTORIO LUZURIAGA-USURBIL;2000000118;VICTORIO LUZURIAGA-USURBIL;Usurbil;Agua;030700;DQO;(null);239,17575
2008;A20003224;PAPELERA DEL ORIA;2000000119;PAPELERA DEL ORIA;Zizurkil;Agua;020131;PLOMO Y SUS COMPUESTOS;23;0,171977
2008;A20003224;PAPELERA DEL ORIA;2000000119;PAPELERA DEL ORIA;Zizurkil;Agua;010300;COMPUESTOS ORGANICOS DE ESTAÑO;69;0
2008;A20017919;PAPELERA DE AMAROZ;2000000126;PAPELERA DE AMAROZ, S.A.;Tolosa;Agua;010000;SUSTANCIAS MUY TOXICAS;(null);28589,848
2008;A20664785;TALLERES DE ESCORIAZA;2000000128;TESA ESCORIAZA;Eskoriatza;Agua;022400;ACEITES Y GRASAS;(null);42,04
2008;A20664785;TALLERES DE ESCORIAZA;2000000128;TESA ESCORIAZA;Eskoriatza;Agua;010500;CADMIO Y SUS COMPUESTOS;18;0
2008;A20664785;TALLERES DE ESCORIAZA;2000000128;TESA ESCORIAZA;Eskoriatza;Agua;020127;CROMO Y SUS COMPUESTOS;19;0
2008;A20664785;TALLERES DE ESCORIAZA;2000000128;TESA ESCORIAZA;Eskoriatza;Agua;011008;BENZO(g, h, i)PERILENO (COMO PAH);(null);0
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;2000000133;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A (OÑATI);Oñati;Agua;021500;SULFATOS;(null);4193,208
2008;A48565469;PAPRESA;2000000109;PAPRESA;Errenteria;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;720,4059
2008;A48565469;PAPRESA;2000000109;PAPRESA;Errenteria;Agua;020128;COBRE Y SUS COMPUESTOS;20;17,441406
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Agua;021400;NITRATOS;(null);0,1484
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Agua;021802;NITRITOS;(null);0,1079
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;0,12
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Agua;030700;DQO;(null);1961,66
2008;B20879680;CORRUGADOS AZPEITIA;2000000168;CORRUGADOS AZPEITIA;Azpeitia;Agua;010500;CADMIO Y SUS COMPUESTOS;18;0
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Agua;022100;NITRÓGENO TOTAL;12;470,603
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Agua;020129;ARSÉNICO Y SUS COMPUESTOS;17;0,01138
2008;A20022828;TS FUNDICIONES;2000017917;TS ARROA;Zestoa;Agua;020127;CROMO Y SUS COMPUESTOS;19;0,11129
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;Agua;030800;DBO5;(null);32173,14
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;Agua;020124;CALCIO;(null);2523,68
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;Agua;020125;SODIO;(null);137040,25
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;Agua;022000;BICARBONATOS;(null);263964,97
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010122;MIREX;46;0,0114493
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010301;TRIBUTILESTAÑO Y COMPUESTOS;74;0,028623
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;020401;OCTILFENOLES;87;0,1946381
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010128;HEXABROMOBIFENILO;90;0,0057246
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;020129;ARSÉNICO Y SUS COMPUESTOS;17;2,862325
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;022300;CARBONO ORGÁNICO TOTAL (TOC);76;12090,46
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;020128;COBRE Y SUS COMPUESTOS;20;1,14493
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010104;TETRACLORURO DE CARBONO;(null);0,0114493
2008;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000018160;VERTEDERO DE AIZMENDI;Donostia-San Sebastián;Agua;010803;TOLUENO (COMO BTEX);73;0,0915944
2008;A20789947;FUNDICIONES WIND ENERGY CASTINH;2000018262;FUNDICIONES WIND ENERGY CASTINH (WEC I de Deba);Deba;Agua;010600;ACEITES Y GRASAS MINERALES PERSISTENTES;(null);0
2008;A20789947;FUNDICIONES WIND ENERGY CASTINH;2000018262;FUNDICIONES WIND ENERGY CASTINH (WEC I de Deba);Deba;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;0
2008;F20025292;FAGOR EDERLAN;2000019815;MARKULETEKO BURDINA GALDATEGIA;Arrasate/Mondragón;Agua;020112;HIERRO;(null);7,19696
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;Agua;010800;BTEX (BENCENO, TOLUENO, ETILBENCENO XILENOS);(null);0,02
