Contaminantes al AIRE de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad KG/Año
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Aire;040228;TETRACLOROETILENO (PERCLOROETILENO);52;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Aire;020201;ARSENICO Y SUS COMPUESTOS;17;0
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Aire;020303;CROMO Y SUS COMPUESTOS;19;0,091
2008;A48137657;BEFESA ZINC AMOREBIETA;4800002110;Befesa Zinc Amorebieta, S.A.U.;Amorebieta-Etxano;Aire;030203;ACIDO CIANHIDRICO;85;0
2008;B20021960;GRUPO AMCOR FLEXIBLES HISPANIA;2000018813;GRUPO AMCOR FLEXIBLES HISPANIA, S.L;Lezo;Aire;060101;PM10 (PARTÍCULAS SUSPENDIDAS FRACCIÓN RESPIRABLE);86;103,99
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Aire;020101;CADMIO Y SUS COMPUESTOS;18;0
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Aire;030208;FLUOR Y COMPUESTOS INORGÁNICOS (HF);84;36,78
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Aire;050106;HIDROCARBUROS AROMÁTICOS POLICÍCLICOS (PAH);72;1,87
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Aire;020203;NIQUEL Y SUS COMPUESTOS;22;0
2008;A20001020;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES;2000000096;CAF-BEASAIN;Beasain;Aire;070105;METANO;1;235,6
2008;A01000249;LASCARAY;0100000202;LASCARAY;Vitoria-Gasteiz;Aire;070105;METANO;1;195,7
2008;A01038025;ELECTROCROMO;0100008824;ELECTROCROMO;Vitoria-Gasteiz;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;0,9
2008;A48032072;BARNA;4800021585;BARNA;Mundaka;Aire;070105;METANO;1;134
2008;A48037550;GEA IBERICA;4800024666;GEA IBERICA, S.A. - VIZCAYA;Igorre;Aire;070105;METANO;1;274,5
2008;B62575873;ZEOLITAS DE ALAVA;0100011549;ZEOLITAS DE ALAVA, S.L.;Lantarón;Aire;070105;METANO;1;113,7
2008;B01415694;BIONOR BERANTEVILLA;0100012609;Bionor Berantevilla;Berantevilla;Aire;030401;OXIDOS DE AZUFRE;11;1491,818
2008;A20021507;HIJOS DE JUAN DE GARAY,S.A.;2000000113;HIJOS DE JUAN DE GARAY, S.A.;Oñati;Aire;040404;NMVOC (COMPUESTOS ORGÁNICOS VOLÁTILES NO METÁNICOS);7;836
