Residuos No peligrosos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100210;Cascarilla de laminación;R13;No Peligroso;1008550;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;170401;Cobre, bronce, latón;R4;No Peligroso;6560;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150103;Envases de madera;R13;No Peligroso;5700;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100202;Escorias no tratadas;R13;No Peligroso;19435660;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;200304;Lodos de fosas sépticas;R13;No Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;170201;Madera;R13;No Peligroso;80740;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;170802;Materiales de construcción a base de yeso distintos de los especificados en el código 17 08 01;D5;No Peligroso;49460;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;120121;Muelas y materiales de esmerilado usados distintos de los especificados en el código 12 01 20;D5;No Peligroso;1600;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160103;Neumáticos fuera de uso;R13;No Peligroso;2380;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100215;Otros lodos y tortas de filtración;D5;No Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;161104;Otros revestimientos y refractarios procedentes de procesos metalúrgicos, distintos de los especificados en el código 16 11 03;D5;No Peligroso;277980;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;200139;Plásticos;D5;No Peligroso;15260;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;170904;Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;R13;No Peligroso;85460;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100299;Residuos no especificados en otra categoría;D5;No Peligroso;10377090;KG
2008;A95078523;ACID REGENERATION SERVICE SPAIN I;0100005269;ACID REGENERATION SERVICE SPAIN I, S.A.;Vitoria-Gasteiz;200140;Metales;R4;No Peligroso;500;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200304;Lodos de fosas sépticas;D9;No Peligroso;0;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200138;Madera distinta de la especificada en el código 20 01 37;R5;No Peligroso;84880;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200140;Metales;R5;No Peligroso;48420;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200101;Papel y cartón;R5;No Peligroso;164970;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;170904;Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;D5;No Peligroso;45980;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;161106;Revestimientos y refractarios procedentes de procesos no metalúrgicos, distintos de los especificados en el código 16 11 05;D5;No Peligroso;0;KG
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;200102;Vidrio;R5;No Peligroso;0;KG
2008;A01061373;AMURRIO FERROCARRIL Y EQUIPOS;0100006390;AMURRIO FERROCARRIL Y EQUIPOS S.A.;Amurrio;150101;Envases de papel y cartón;R13;No Peligroso;24950;KG
2008;A01061373;AMURRIO FERROCARRIL Y EQUIPOS;0100006390;AMURRIO FERROCARRIL Y EQUIPOS S.A.;Amurrio;100903;Escorias de horno;R13;No Peligroso;16020;KG
2008;A01061373;AMURRIO FERROCARRIL Y EQUIPOS;0100006390;AMURRIO FERROCARRIL Y EQUIPOS S.A.;Amurrio;120101;Limaduras y virutas de metales férreos;R13;No Peligroso;163220;KG
