Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;200301;Mezclas de residuos municipales;R13;Urbano;20280;KG
2008;A50010263;ARAGONESA DE PIENSOS;0100002301;ARAGONESA DE PIENSOS S.A.;Berantevilla;200301;Mezclas de residuos municipales;R13;Urbano;250430;KG
2008;B01123595;AVICOLA ARBARAITZ;0100001582;AVICOLA ARBARAITZ S.L.;Asparrena;200301;Mezclas de residuos municipales;R13;Urbano;31200;KG
2008;V01024058;AVICOLA TOLOSA SAT;0100001390;AVICOLA TOLOSA S.A.T.;Asparrena;190501;Fracción no compostada de residuos municipales y asimilados;R13;Urbano;10000;KG
2008;A01132091;BGB GIOVANNI BOZZETTO;0100001109;BGB GIOVANNI BOZZETTO;Lantarón;200301;Mezclas de residuos municipales;R13;Urbano;2800;KG
2008;A01141886;CASTINOX;0100000515;CASTINOX S.A;Amurrio;200301;Mezclas de residuos municipales;R13;Urbano;12170;KG
2008;A01129303;CELAYA EMPARANZA Y GALDOS INTERNACIONAL S.A.;0100000340;CEGASA;Vitoria-Gasteiz;200301;Mezclas de residuos municipales;D1;Urbano;180200;KG
2008;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;200301;Mezclas de residuos municipales;D2;Urbano;1830;KG
2008;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;200101;Papel y cartón;D2;Urbano;1483;KG
2008;A01048354;CERAMICA MARLO, S.A.;0100006411;CERAMICA MARLO, S.A;Armiñón;160119;Plástico;D2;Urbano;295;KG
2008;B01002971;COMPAÑIA DE BEBIDAS PEPSICO;0100002258;COMPAÑIA DE BEBIDAS PEPSICO S.L.;Zigoitia;200301;Mezclas de residuos municipales;D1;Urbano;27440;KG
2008;A01156942;CONDESA FABRIL, S.A.;0100000394;CONDESA FABRIL, S.A.;Legutiano;200301;Mezclas de residuos municipales;R13;Urbano;54400;KG
2008;A48045900;DEGUISA;0100000543;DEGUISA, S.A;Amurrio;200301;Mezclas de residuos municipales;R13;Urbano;1080;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;061399;Residuos no especificados en otra categoría;D5;Urbano;56790;KG
2008;A01169523;DEKITRA;0100002521;DEKITRA;Lantarón;061399;Residuos no especificados en otra categoría;D5;Urbano;56790;KG
2008;B01225325;ECN CABLE GROUP;0100002259;ECN CABLE GROUP;Vitoria-Gasteiz;150103;Envases de madera;R13;Urbano;16390;KG
