Residuos Inertes de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01394261;AIALA VIDRIO;0100000320;AIALA VIDRIO, S.A.;Laudio/Llodio;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;R11;Inerte;68520;KG
2008;A20613253;PAPEL ARALAR;2000007375;PAPEL ARALAR;Amezketa;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D5;Inerte;35980;KG
2008;A20664785;TALLERES DE ESCORIAZA;2000000649;TESA IRUN;Irun;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;R13;Inerte;5000;KG
2008;A59202861;CESPA GR;2000003717;VERTEDERO DE MUTILOA;Mutiloa;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D12;Inerte;0;KG
2008;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;R13;Inerte;7742350;KG
2008;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;R13;Inerte;305250;KG
2008;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;170504;Tierra y piedras distintas de las especificadas en el código 17 05 03;R13;Inerte;29352005;KG
2008;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;170202;Vidrio;D5;Inerte;17540;KG
2008;B83727255;ALCOA TRANSFORMACION DE PRODUCTOS;4800005747;alcoa transformacion de productos  ( Amorebieta );Amorebieta-Etxano;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D5;Inerte;0;KG
2008;B83727255;ALCOA TRANSFORMACION DE PRODUCTOS;4800005747;alcoa transformacion de productos  ( Amorebieta );Amorebieta-Etxano;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D15;Inerte;0;KG
2008;B83727255;ALCOA TRANSFORMACION DE PRODUCTOS;4800005747;alcoa transformacion de productos  ( Amorebieta );Amorebieta-Etxano;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D5;Inerte;0;KG
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;101103;Residuos de materiales de fibra de vidrio;R13;Inerte;26200;KG
2008;B48011670;DOW CHEMICAL IBERICA;4800000005;DOW CHEMICAL IBERICA , SL;Leioa;101103;Residuos de materiales de fibra de vidrio;D5;Inerte;41925;KG
2008;A48004360;FAES FARMA;4800001449;FAES FARMA;Leioa;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;R13;Inerte;204720;KG
2008;A48070965;MANUEL GARCIA MENDOZA;4800001543;MANUEL GARCIA MENDOZA,S.A.;Ortuella;191202;Metales férreos;R4;Inerte;6920;KG
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;170107;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;D5;Inerte;672090;KG
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;101103;Residuos de materiales de fibra de vidrio;D5;Inerte;25740;KG
2008;A48060057;CESPA CONTEN;4800001223;VERTEDERO DE ZALLA;Zalla;101103;Residuos de materiales de fibra de vidrio;D5;Inerte;21430;KG
