Residuos peligrosos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q5//D15//S-34//C51//H5//A212//B00019;Peligroso;12076;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150202;Absorbentes, materiales de filtración (incluidos los filtros de aceite no especificados en otra categoría), trapos de limpieza y ropas protectoras contaminados por sustancias peligrosas;Q12//D15//S-10//C32//H6/H7//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;130110;Aceites hidráulicos minerales no clorados;Q7//R9//L-08//C51//H5/H6//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;130307;Aceites minerales no clorados de aislamiento y transmisión de calor;Q7//R13//L-8//C51//H5/H6//A212//B00019;Peligroso;5030;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;130205;Aceites minerales no clorados de motor, de transmisión mecánica y lubricantes;Q7//R13//L-8//C51//H5/H6//A212//B00019;Peligroso;19470;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;110106;Acidos no especificados en otra categoría;Q7//D15//L-27//C23//H8//A212//B03120;Peligroso;2250;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160601;Baterías de plomo;Q6//R13//S-37//C18/C23//H8//A212//B00019;Peligroso;140;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;200133;Baterías y acumuladores especificados en los códigos 16 06 01, 16 06 02 o 16 06 03 y códigos 20 01 21 y 20 01 23, que contienen componentes peligrosos [6]baterías y acumuladores sin clasificar que contienen esas baterías;Q6//R13//S-37//C7/C11/C16//H6/H14//A212//B00019;Peligroso;40;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;120112;Ceras y grasas usadas;Q7//D15//P-19//C51//H5//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;120109;Emulsiones y disoluciones de mecanizado sin halógenos;Q8//D9/R1//L-9//C51//H5//A212//B03141;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;120109;Emulsiones y disoluciones de mecanizado sin halógenos;Q8//D15//L-9//C51//H5//A212//B03141;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R13//S-36//C41//H14//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R4//S-36//C51/C41//H5/H14//A212//B00019;Peligroso;1720;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;150110;Envases que contienen restos de sustancias peligrosas o están contaminados por ellas;Q5//R3//S-36//C51//H5//A212//B00019;Peligroso;1460;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160213;Equipos desechados que contienen componentes peligrosos [2], distintos de los especificados en los códigos 16 02 09 y 16 02 12;Q14//R4//S-40//C6/C18//H6/H14//A212//B00019;Peligroso;165;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;130701;Fuel oil y gasóleo;Q8//R1//L-09//C51//H5//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160504;Gases en recipientes a presión (incluidos los halones) que contienen sustancias peligrosas;Q14//D15//S-36//C40//H3B/H5//A212//B00019;Peligroso;70;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;160504;Gases en recipientes a presión (incluidos los halones) que contienen sustancias peligrosas;Q14//D15//S-36//C40//H5/H3B//A212//B00019;Peligroso;660;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;130113;Otros aceites hidráulicos;Q7//R13//L-09//C51//H5/H6//A212//B00019;Peligroso;6000;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;140603;Otros disolventes y mezclas de disolventes;Q7//R13//L-05//C41//H3B/H5//A212//B00019;Peligroso;0;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;140603;Otros disolventes y mezclas de disolventes;Q7//R13//L-05//C41//H3B/H5//A212//B00019;Peligroso;1260;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100211;Residuos del tratamiento del agua de refrigeración que contienen aceites;Q9//D9//P-27//C51//H5//A212//B00006;Peligroso;53100;KG
2008;A01010958;ACERIA DE ALAVA,;0100003661;ACERÍA DE ÁLAVA, S.A.;Amurrio;100207;Residuos sólidos del tratamiento de gases que contienen sustancias peligrosas;Q9//R4//S-25//C5/C7/C18//H14/H13//A212//B00011;Peligroso;2011920;KG
